E. Edificación y Vivienda
Mercado de la vivienda
Precios de la vivienda
4.3.20.B Evolución del precio de la vivienda de segunda mano (€/m2)  por Distrito y Barrio
;;2017;2018;2019;2020;2021;2022
16. Hortaleza;166. Valdefuentes;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;..
16. Hortaleza;166. Valdefuentes (PAU Sanchinarro);3.829;4.184;4.417;4.204;4.204;4.356
16. Hortaleza;166. Valdefuentes (Valdebebas - Valdefuentes);Sin Datos;Sin Datos;3.676;3.868;4.214;4.544
16. Hortaleza;166. Valdefuentes (Virgen del Cortijo - Manoteras);Sin Datos;Sin Datos;3.504;3.735;3.377;3.502
16. Hortaleza;166. Valdefuentes (El Encinar de los Reyes);Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;..
17. Villaverde;17. Villaverde;1.440;1.644;1.730;1.706;1.690;1.834
17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";1.390;1.644;1.614;1.599;Sin Datos;1.752
17. Villaverde;172. San Cristóbal;1.043;1.252;1.467;1.338;1.391;1.457
17. Villaverde;173. Butarque;1.840;1.803;2.143;2.084;2.208;2.292
17. Villaverde;174. Los Rosales;1.438;1.761;1.869;1.854;1.785;1.883
17. Villaverde;175. Ángeles;1.551;1.648;1.842;1.757;1.864;2.000
18. Villa de Vallecas;18. Villa de Vallecas;2.147;2.338;2.434;2.384;2.372;2.529
18. Villa de Vallecas;181. Casco Histórico de Vallecas;1.731;1.913;2.018;1.900;1.927;2.205
18. Villa de Vallecas;181. Casco Histórico de Vallecas (Ensanche de Vallecas - Valdecarros- La Gavia);2.506;2.774;2.695;2.772;2.301;2.994
18. Villa de Vallecas;182. Santa Eugenia;1.915;2.143;2.285;2.115;2.913;2.237
19. Vicálvaro;19. Vicálvaro;1.938;2.227;2.355;2.318;2.413;2.708
19. Vicálvaro;191. Casco Histórico de Vicálvaro;Sin Datos;Sin Datos;2.145;2.067;2.073;2.478
19. Vicálvaro;191. Casco Histórico de Vicálvaro (Valdebernardo - Valderribas);2.432;Sin Datos;2.895;2.975;3.000;3.225
